id,Geographic Area Name,% over 50 percent
36047013500,135,24.3
36047014000,140,19.7
36047014100,141,26.3
36047017700,177,0
36047018100,181,16.3
36047018600,186,35.7
36047019300,193,34.8
36047035400,354,17.1
36047087401,874.01,37.6
36047088400,884,31.5
36047089600,896,45.6
36047090800,908,40.9
36047093400,934,20.8
36047095400,954,26.9
36047096800,968,13.6
36047097000,970,13.2
36047099400,994,19.1
36047100400,1004,32.4
36047020100,201,13
36047118000,1180,0
36047121000,1210,22.7
36047019700,197,20.3
36047021500,215,20.9
36047027200,272,35.1
36047035500,355,31.6
36047036502,365.02,33.5
36047039300,393,26.7
36081004200,42,38.5
36081004500,45,29.4
36081004700,47,13.5
36081006100,61,20.3
36081007700,77,26.3
36047117400,1174,29.6
36047117602,1176.02,36.6
36047122000,1220,40.3
36047031300,313,23.3
36047101400,1014,24.4
36047111800,1118,33.4
36047115800,1158,40.4
36047040300,403,41.7
36047042800,428,28.4
36047047000,470,52.3
36047019800,198,19.8
36047029700,297,33.5
36047033500,335,50.5
36047039100,391,33.5
36047086800,868,35.4
36047091600,916,43.8
36047101200,1012,20.3
36047007200,72,43
36047010000,100,27.1
36047013800,138,23.3
36047028300,283,34.7
36047036900,369,28.7
36047100600,1006,44.4
36047116000,1160,26
36047119200,1192,35.7
36047019600,196,42.3
36047023400,234,56.9
36047026500,265,31.1
36047040600,406,58.9
36047047600,476,47.5
36047054200,542,33.9
36047021900,219,28.5
36047040100,401,41.7
36047025300,253,33.4
36047116200,1162,48.5
36047116600,1166,33
36047033100,331,36.4
36047035700,357,42.5
36085023900,239,57.8
36085024800,248,30.9
36085002100,21,34.8
36081006900,69,28.2
36081007500,75,11.4
36081026200,262,33.9
36081059300,593,23
36081059800,598,37.4
36081060000,600,0
36081061601,616.01,28.6
36081062000,620,100
36081062500,625,16.8
36081063500,635,30.8
36081065600,656,45.8
36081066000,660,41
36081068300,683,45.2
36081071600,716,0
36081065702,657.02,20.5
36081068000,680,11.5
36081072100,721,34.5
36081077903,779.03,25.4
36081084602,846.02,55.6
36081016600,166,36
36081015000,150,15.8
36081015300,153,32.9
36081015700,157,20.4
36081017000,170,31.6
36081064500,645,29.7
36081066100,661,23.3
36081066400,664,22.8
36081069000,690,32.5
36081069702,697.02,32.6
36081071900,719,42.6
36081076902,769.02,31.4
36081079000,790,34.9
36081081800,818,25.3
36081092500,925,30.8
36081083800,838,39
36081084000,840,43.7
36081091800,918,0
36081008700,87,23
36081009400,94,32.1
36081009900,99,0
36081010100,101,20.5
36081029500,295,19.9
36081058000,580,25
36081054800,548,35.5
36081055200,552,42.3
36081056600,566,27.6
36081059000,590,37.8
36047117000,1170,48
36047117201,1172.01,33.1
36061023600,236,13.6
36061016900,169,16.6
36061017100,171,23.7
36061017900,179,24.6
36061018200,182,18.2
36061018300,183,30.6
36047090000,900,37.7
36047099600,996,15.2
36081003300,33,29.8
36081006201,62.01,43.8
36081006202,62.02,36.1
36081006501,65.01,21
36081006502,65.02,19.5
36081008500,85,43.1
36081010701,107.01,0
36081012301,123.01,20.4
36081012500,125,21.5
36081015801,158.01,36.9
36081015802,158.02,27.8
36081018101,181.01,24.9
36081018102,181.02,20.3
36081018501,185.01,32.1
36081018502,185.02,19.5
36081019400,194,14.3
36081019900,199,34
36081020500,205,21.7
36081025301,253.01,22.6
36081025302,253.02,15.1
36081025400,254,32.1
36081026901,269.01,41.8
36081026902,269.02,36
36081029400,294,22.4
36081030600,306,45.5
36081030903,309.03,39.8
36081030904,309.04,30.7
36081035700,357,26.8
36081038301,383.01,0
36081038302,383.02,0
36081042400,424,6.8
36081043701,437.01,37.7
36081043702,437.02,40.2
36081044301,443.01,28.8
36081044302,443.02,17.8
36081044400,444,33.7
36081053100,531,19.9
36081053401,534.01,4.5
36081053601,536.01,11.6
36081058200,582,19.5
36081060701,607.01,0
36081065501,655.01,0
36081061301,613.01,17.6
36081061302,613.02,0
36081062200,622,13.4
36081065703,657.03,25.6
36081066501,665.01,30.6
36081066701,667.01,44.3
36081067100,671,27.3
36081071303,713.03,15.1
36081071304,713.04,29.4
36081071305,713.05,26.1
36081071306,713.06,20
36081071701,717.01,41.3
36081071702,717.02,42.6
36081072300,723,0
36081074900,749,28.6
36081075701,757.01,33.1
36081075702,757.02,41.9
36081077906,779.06,32.1
36081077907,779.07,38
36047000501,5.01,12.3
36047000502,5.02,17
36047001500,15,22.1
36047004400,44,31.2
